Location,Kharif,Rabi,Acres,Type,Method1,Method2,Method3,Credits
 Andhra Pradesh,Rice ,Wheat,"49,42,100.00",Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management ,"89,760.00"
 Andhra Pradesh,Rice ,Green Manure Crop,"49,42,100.00",Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management ,"6,49,481.00"
 Andhra Pradesh,Rice ,Wheat,"49,42,100.00",Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management ,"32,81,744.00"
 Andhra Pradesh,Rice ,Green Manure Crop,"49,42,100.00",Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management ,"32,81,744.00"
 Andhra Pradesh,Rice ,Wheat,"49,42,100.00",Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management ,"32,81,744.00"
 Andhra Pradesh,Rice ,Green Manure Crop,"49,42,100.00",Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management ,"32,81,744.00"
 Andhra Pradesh,Rice ,Wheat,"49,42,100.00",Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management ,"32,81,744.00"
 Andhra Pradesh,Rice ,Green Manure Crop,"49,42,100.00",Luvisols,Reduced Tillage,Irrigation Management,Fertilizer Management ,"32,81,744.00"
Bihar,Rice,Wheat  ,"8,23,683.33",Cambisols,Fertilizer Management,Residue Management,Crop Rotation,"10,941.08"
Bihar,Millet,Wheat,"8,23,683.33",Cambisols,Fertilizer Management,Residue Management,Crop Rotation,"10,941.08"
Bihar,Rice,Wheat  ,"8,23,683.33",Cambisols,Fertilizer Management,Residue Management,Crop Rotation,"21,882.17"
Bihar,Millet,Wheat,"8,23,683.33",Cambisols,Fertilizer Management,Residue Management,Crop Rotation,"21,882.17"
Bihar,Rice,Wheat  ,"8,23,683.33",Cambisols,Fertilizer Management,Residue Management,Crop Rotation,"81,722.08"
Bihar,Millet,Wheat,"8,23,683.33",Cambisols,Fertilizer Management,Residue Management,Crop Rotation,"81,722.08"
Bihar,Rice,Wheat  ,"8,23,683.33",Cambisols,Fertilizer Management,Residue Management,Crop Rotation,"1,49,599.80"
Bihar,Millet,Wheat,"8,23,683.33",Cambisols,Fertilizer Management,Residue Management,Crop Rotation,"1,49,599.80"
Bihar,Rice,Wheat  ,"8,23,683.33",Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,"3,79,577.50"
Bihar,Millet,Wheat,"8,23,683.33",Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,"3,79,577.50"
Bihar,Rice,Wheat  ,"8,23,683.33",Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,"5,18,021.30"
Bihar,Millet,Wheat,"8,23,683.33",Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,"5,18,021.30"
Bihar,Rice,Wheat  ,"8,23,683.33",Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,"5,18,021.30"
Bihar,Millet,Wheat,"8,23,683.33",Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,"5,18,021.30"
Bihar,Rice,Wheat  ,"8,23,683.33",Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,"5,18,021.30"
Bihar,Millet,Wheat,"8,23,683.33",Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,"5,18,021.30"
Bihar,Rice,Wheat  ,"8,23,683.33",Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,"5,18,021.30"
Bihar,Millet,Wheat,"8,23,683.33",Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,"5,18,021.30"
Bihar,Rice,Wheat  ,"8,23,683.33",Cambisols,Reduced Tillage,Fertilizer Management,Irrigation Management,"5,18,021.30"
